age,qx,probability
25,0.002508,0.002508
26,0.002554,0.002554
27,0.002554,0.002554
28,0.00252,0.00252
29,0.002461,0.002461
30,0.002393,0.002393
31,0.002325,0.002325
32,0.00227,0.00227
33,0.002239,0.002239
34,0.002246,0.002246
35,0.002297,0.002297
36,0.00239,0.00239
37,0.002518,0.002518
38,0.002674,0.002674
39,0.002855,0.002855
40,0.003049,0.003049
41,0.003253,0.003253
42,0.003458,0.003458
43,0.003656,0.003656
44,0.003843,0.003843
45,0.004015,0.004015
46,0.004177,0.004177
47,0.00433,0.00433
48,0.004475,0.004475
49,0.004613,0.004613
50,0.004746,0.004746
51,0.004877,0.004877
52,0.005006,0.005006
53,0.005135,0.005135
54,0.005264,0.005264
55,0.005394,0.005394
56,0.006056,0.006056
57,0.006958,0.006958
58,0.007991,0.007991
59,0.009178,0.009178
60,0.010542,0.87232329
